Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Status
pro-cricket-bat-english-willow,Pro Cricket Bat - English Willow,"<p>Premium English Willow cricket bat with optimal sweet spot and balanced weight distribution. Perfect for professional and amateur players.</p>",FitnessHeals,Equipment,"cricket, equipment, bestseller",TRUE,Title,Default Title,CRICKET-BAT-001,189.00,deny,manual,TRUE,TRUE,,active
cricket-batting-pads-pro-guard,Cricket Batting Pads - Pro Guard,"<p>Professional-grade batting pads with high-density foam protection. Lightweight design for maximum mobility at the crease.</p>",FitnessHeals,Equipment,"cricket, equipment, protection",TRUE,Title,Default Title,CRICKET-PADS-001,79.00,deny,manual,TRUE,TRUE,,active
cricket-jersey-performance-fit,Cricket Jersey - Performance Fit,"<p>Moisture-wicking cricket jersey with UV protection. Breathable fabric keeps you cool during long innings.</p>",FitnessHeals,Apparel,"cricket, apparel, jersey",TRUE,Title,Default Title,CRICKET-JERSEY-001,59.00,deny,manual,TRUE,TRUE,,active
baseball-glove-pro-leather,Baseball Glove - Pro Leather,"<p>Premium full-grain leather baseball glove with deep pocket design. Pre-oiled for game-ready feel right out of the box.</p>",FitnessHeals,Equipment,"baseball, equipment, glove",TRUE,Title,Default Title,BASEBALL-GLOVE-001,119.00,deny,manual,TRUE,TRUE,,active
baseball-bat-alloy-power,Baseball Bat - Alloy Power,"<p>High-performance alloy baseball bat with extended sweet spot. Balanced swing weight for maximum bat speed.</p>",FitnessHeals,Equipment,"baseball, equipment, bat",TRUE,Title,Default Title,BASEBALL-BAT-001,149.00,deny,manual,TRUE,TRUE,,active
baseball-cleats-speed-grip,Baseball Cleats - Speed Grip,"<p>Lightweight baseball cleats with metal spikes for superior traction. Padded ankle support for comfort during long games.</p>",FitnessHeals,Footwear,"baseball, footwear, cleats",TRUE,Title,Default Title,BASEBALL-CLEATS-001,109.00,deny,manual,TRUE,TRUE,,active
pickleball-paddle-carbon-pro,Pickleball Paddle - Carbon Pro,"<p>Carbon fiber pickleball paddle with polymer honeycomb core. Edge guard protection and cushioned grip for all-day play.</p>",FitnessHeals,Equipment,"pickleball, equipment, paddle",TRUE,Title,Default Title,PICKLE-PADDLE-001,129.00,deny,manual,TRUE,TRUE,,active
pickleball-balls-tournament-6-pack,Pickleball Balls - Tournament 6-Pack,"<p>USAPA approved outdoor pickleball balls. Consistent bounce and flight for competitive play. Pack of 6.</p>",FitnessHeals,Equipment,"pickleball, equipment, balls",TRUE,Title,Default Title,PICKLE-BALLS-001,19.00,deny,manual,TRUE,TRUE,,active
pickleball-bag-court-ready,Pickleball Bag - Court Ready,"<p>Dedicated pickleball bag with paddle compartment and ball storage. Adjustable shoulder strap and ventilated shoe pocket.</p>",FitnessHeals,Accessories,"pickleball, accessories, bag",TRUE,Title,Default Title,PICKLE-BAG-001,49.00,deny,manual,TRUE,TRUE,,active
padel-racket-power-pro,Padel Racket - Power Pro,"<p>Diamond-shaped padel racket with carbon fiber frame. EVA soft core for excellent control and power balance.</p>",FitnessHeals,Equipment,"padel, equipment, racket",TRUE,Title,Default Title,PADEL-RACKET-001,159.00,deny,manual,TRUE,TRUE,,active
padel-balls-pro-3-pack,Padel Balls - Pro 3-Pack,"<p>Premium pressurized padel balls with consistent bounce. Durable felt cover for extended play. Pack of 3.</p>",FitnessHeals,Equipment,"padel, equipment, balls",TRUE,Title,Default Title,PADEL-BALLS-001,15.00,deny,manual,TRUE,TRUE,,active
padel-shoes-court-grip,Padel Shoes - Court Grip,"<p>Specialized padel court shoes with herringbone sole pattern. Lateral support and cushioned midsole for quick movements.</p>",FitnessHeals,Footwear,"padel, footwear, shoes",TRUE,Title,Default Title,PADEL-SHOES-001,119.00,deny,manual,TRUE,TRUE,,active
soccer-cleats-speed-elite,Soccer Cleats - Speed Elite,"<p>Lightweight soccer cleats with textured upper for ball control. Firm ground studs for natural grass surfaces.</p>",FitnessHeals,Footwear,"soccer, footwear, cleats",TRUE,Title,Default Title,SOCCER-CLEATS-001,149.00,deny,manual,TRUE,TRUE,,active
soccer-ball-match-pro,Soccer Ball - Match Pro,"<p>FIFA Quality Pro certified match ball. Thermal-bonded panels for consistent flight and water resistance.</p>",FitnessHeals,Equipment,"soccer, equipment, ball",TRUE,Title,Default Title,SOCCER-BALL-001,49.00,deny,manual,TRUE,TRUE,,active
soccer-shin-guards-pro-shield,Soccer Shin Guards - Pro Shield,"<p>Anatomically shaped shin guards with ankle protection. Lightweight shell with foam backing for comfort.</p>",FitnessHeals,Equipment,"soccer, equipment, protection",TRUE,Title,Default Title,SOCCER-SHINGUARD-001,29.00,deny,manual,TRUE,TRUE,,active
basketball-jersey-pro-series,Basketball Jersey - Pro Series,"<p>Moisture-wicking basketball jersey with mesh ventilation panels. Official team fit with reinforced stitching.</p>",FitnessHeals,Apparel,"basketball, apparel, jersey",TRUE,Title,Default Title,BBALL-JERSEY-001,69.00,deny,manual,TRUE,TRUE,,active
basketball-shoes-court-dominator,Basketball Shoes - Court Dominator,"<p>High-top basketball shoes with Zoom Air cushioning. Herringbone traction pattern and padded collar for ankle support.</p>",FitnessHeals,Footwear,"basketball, footwear, shoes",TRUE,Title,Default Title,BBALL-SHOES-001,169.00,deny,manual,TRUE,TRUE,,active
basketball-official-game-ball,Basketball - Official Game Ball,"<p>Official size and weight basketball with premium composite leather. Deep channel design for superior grip.</p>",FitnessHeals,Equipment,"basketball, equipment, ball",TRUE,Title,Default Title,BBALL-BALL-001,39.00,deny,manual,TRUE,TRUE,,active
hockey-stick-pro-carbon,Hockey Stick - Pro Carbon,"<p>100% carbon fiber hockey stick with mid-kick point. Optimized for powerful slap shots and quick releases.</p>",FitnessHeals,Equipment,"hockey, equipment, stick",TRUE,Title,Default Title,HOCKEY-STICK-001,179.00,deny,manual,TRUE,TRUE,,active
